Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS
Tue Oct 17 2017,8:01 PM,Boston Celtics,99,Cleveland Cavaliers,102
Tue Oct 17 2017,10:30 PM,Houston Rockets,122,Golden State Warriors,121
Wed Oct 18 2017,7:30 PM,Milwaukee Bucks,108,Boston Celtics,100
Wed Oct 18 2017,8:30 PM,Atlanta Hawks,117,Dallas Mavericks,111
Wed Oct 18 2017,7:00 PM,Charlotte Hornets,90,Detroit Pistons,102
Wed Oct 18 2017,7:00 PM,Brooklyn Nets,131,Indiana Pacers,140
Wed Oct 18 2017,8:00 PM,New Orleans Pelicans,91,Memphis Grizzlies,103
Wed Oct 18 2017,7:00 PM,Miami Heat,109,Orlando Magic,116
Wed Oct 18 2017,10:00 PM,Portland Trail Blazers,124,Phoenix Suns,76
Wed Oct 18 2017,10:00 PM,Houston Rockets,105,Sacramento Kings,100
Wed Oct 18 2017,9:30 PM,Minnesota Timberwolves,99,San Antonio Spurs,107
Wed Oct 18 2017,9:00 PM,Denver Nuggets,96,Utah Jazz,106
Wed Oct 18 2017,7:00 PM,Philadelphia 76ers,115,Washington Wizards,120
Thu Oct 19 2017,10:30 PM,Los Angeles Clippers,108,Los Angeles Lakers,92
Thu Oct 19 2017,8:00 PM,New York Knicks,84,Oklahoma City Thunder,105
Thu Oct 19 2017,7:30 PM,Chicago Bulls,100,Toronto Raptors,117
Fri Oct 20 2017,7:30 PM,Orlando Magic,,Brooklyn Nets,
Fri Oct 20 2017,7:00 PM,Atlanta Hawks,,Charlotte Hornets,
Fri Oct 20 2017,8:30 PM,Sacramento Kings,,Dallas Mavericks,
Fri Oct 20 2017,7:00 PM,Portland Trail Blazers,,Indiana Pacers,
Fri Oct 20 2017,7:00 PM,Cleveland Cavaliers,,Milwaukee Bucks,
Fri Oct 20 2017,8:00 PM,Utah Jazz,,Minnesota Timberwolves,
Fri Oct 20 2017,9:30 PM,Golden State Warriors,,New Orleans Pelicans,
Fri Oct 20 2017,7:00 PM,Boston Celtics,,Philadelphia 76ers,
Fri Oct 20 2017,10:00 PM,Los Angeles Lakers,,Phoenix Suns,
Fri Oct 20 2017,7:00 PM,Detroit Pistons,,Washington Wizards,
Sat Oct 21 2017,8:00 PM,San Antonio Spurs,,Chicago Bulls,
Sat Oct 21 2017,8:00 PM,Orlando Magic,,Cleveland Cavaliers,
Sat Oct 21 2017,9:00 PM,Sacramento Kings,,Denver Nuggets,
Sat Oct 21 2017,8:00 PM,Dallas Mavericks,,Houston Rockets,
Sat Oct 21 2017,10:30 PM,Phoenix Suns,,Los Angeles Clippers,
Sat Oct 21 2017,8:00 PM,Golden State Warriors,,Memphis Grizzlies,
Sat Oct 21 2017,8:00 PM,Indiana Pacers,,Miami Heat,
Sat Oct 21 2017,8:30 PM,Portland Trail Blazers,,Milwaukee Bucks,
Sat Oct 21 2017,8:00 PM,Detroit Pistons,,New York Knicks,
Sat Oct 21 2017,7:30 PM,Philadelphia 76ers,,Toronto Raptors,
Sat Oct 21 2017,9:00 PM,Oklahoma City Thunder,,Utah Jazz,
Sun Oct 22 2017,3:30 PM,Atlanta Hawks,,Brooklyn Nets,
Sun Oct 22 2017,9:30 PM,New Orleans Pelicans,,Los Angeles Lakers,
Sun Oct 22 2017,7:00 PM,Minnesota Timberwolves,,Oklahoma City Thunder,
Mon Oct 23 2017,8:30 PM,Golden State Warriors,,Dallas Mavericks,
Mon Oct 23 2017,9:00 PM,Washington Wizards,,Denver Nuggets,
Mon Oct 23 2017,7:00 PM,Philadelphia 76ers,,Detroit Pistons,
Mon Oct 23 2017,8:00 PM,Memphis Grizzlies,,Houston Rockets,
Mon Oct 23 2017,7:30 PM,Atlanta Hawks,,Miami Heat,
Mon Oct 23 2017,8:00 PM,Charlotte Hornets,,Milwaukee Bucks,
Mon Oct 23 2017,10:00 PM,Sacramento Kings,,Phoenix Suns,
Mon Oct 23 2017,8:30 PM,Toronto Raptors,,San Antonio Spurs,
Tue Oct 24 2017,7:30 PM,New York Knicks,,Boston Celtics,
Tue Oct 24 2017,7:00 PM,Chicago Bulls,,Cleveland Cavaliers,
Tue Oct 24 2017,10:30 PM,Utah Jazz,,Los Angeles Clippers,
Tue Oct 24 2017,8:00 PM,Indiana Pacers,,Minnesota Timberwolves,
Tue Oct 24 2017,7:00 PM,Brooklyn Nets,,Orlando Magic,
Tue Oct 24 2017,10:00 PM,New Orleans Pelicans,,Portland Trail Blazers,
Wed Oct 25 2017,7:30 PM,Cleveland Cavaliers,,Brooklyn Nets,
Wed Oct 25 2017,7:00 PM,Denver Nuggets,,Charlotte Hornets,
Wed Oct 25 2017,8:30 PM,Memphis Grizzlies,,Dallas Mavericks,
Wed Oct 25 2017,7:00 PM,Minnesota Timberwolves,,Detroit Pistons,
Wed Oct 25 2017,10:30 PM,Toronto Raptors,,Golden State Warriors,
Wed Oct 25 2017,10:30 PM,Washington Wizards,,Los Angeles Lakers,
Wed Oct 25 2017,8:00 PM,San Antonio Spurs,,Miami Heat,
Wed Oct 25 2017,8:00 PM,Indiana Pacers,,Oklahoma City Thunder,
Wed Oct 25 2017,7:00 PM,Houston Rockets,,Philadelphia 76ers,
Wed Oct 25 2017,10:00 PM,Utah Jazz,,Phoenix Suns,
Thu Oct 26 2017,8:00 PM,Atlanta Hawks,,Chicago Bulls,
Thu Oct 26 2017,8:00 PM,Dallas Mavericks,,Memphis Grizzlies,
Thu Oct 26 2017,8:00 PM,Boston Celtics,,Milwaukee Bucks,
Thu Oct 26 2017,10:00 PM,Los Angeles Clippers,,Portland Trail Blazers,
Thu Oct 26 2017,10:30 PM,New Orleans Pelicans,,Sacramento Kings,
Fri Oct 27 2017,7:30 PM,Denver Nuggets,,Atlanta Hawks,
Fri Oct 27 2017,7:00 PM,Houston Rockets,,Charlotte Hornets,
Fri Oct 27 2017,10:30 PM,Washington Wizards,,Golden State Warriors,
Fri Oct 27 2017,10:30 PM,Toronto Raptors,,Los Angeles Lakers,
Fri Oct 27 2017,8:00 PM,Oklahoma City Thunder,,Minnesota Timberwolves,
Fri Oct 27 2017,7:30 PM,Brooklyn Nets,,New York Knicks,
Fri Oct 27 2017,7:00 PM,San Antonio Spurs,,Orlando Magic,
Sat Oct 28 2017,8:00 PM,Oklahoma City Thunder,,Chicago Bulls,
Sat Oct 28 2017,8:30 PM,Philadelphia 76ers,,Dallas Mavericks,
Sat Oct 28 2017,10:30 PM,Detroit Pistons,,Los Angeles Clippers,
Sat Oct 28 2017,8:00 PM,Houston Rockets,,Memphis Grizzlies,
Sat Oct 28 2017,8:00 PM,Boston Celtics,,Miami Heat,
Sat Oct 28 2017,7:00 PM,Cleveland Cavaliers,,New Orleans Pelicans,
Sat Oct 28 2017,10:00 PM,Phoenix Suns,,Portland Trail Blazers,
Sat Oct 28 2017,9:00 PM,Los Angeles Lakers,,Utah Jazz,
Sun Oct 29 2017,3:30 PM,Milwaukee Bucks,,Atlanta Hawks,
Sun Oct 29 2017,6:00 PM,Denver Nuggets,,Brooklyn Nets,
Sun Oct 29 2017,6:00 PM,Orlando Magic,,Charlotte Hornets,
Sun Oct 29 2017,7:00 PM,New York Knicks,,Cleveland Cavaliers,
Sun Oct 29 2017,8:30 PM,Detroit Pistons,,Golden State Warriors,
Sun Oct 29 2017,4:30 PM,San Antonio Spurs,,Indiana Pacers,
Sun Oct 29 2017,6:00 PM,Washington Wizards,,Sacramento Kings,
Mon Oct 30 2017,7:30 PM,San Antonio Spurs,,Boston Celtics,
Mon Oct 30 2017,8:00 PM,Philadelphia 76ers,,Houston Rockets,
Mon Oct 30 2017,10:30 PM,Golden State Warriors,,Los Angeles Clippers,
Mon Oct 30 2017,8:00 PM,Charlotte Hornets,,Memphis Grizzlies,
Mon Oct 30 2017,7:30 PM,Minnesota Timberwolves,,Miami Heat,
Mon Oct 30 2017,8:00 PM,Orlando Magic,,New Orleans Pelicans,
Mon Oct 30 2017,7:30 PM,Denver Nuggets,,New York Knicks,
Mon Oct 30 2017,10:00 PM,Toronto Raptors,,Portland Trail Blazers,
Mon Oct 30 2017,9:00 PM,Dallas Mavericks,,Utah Jazz,
Tue Oct 31 2017,7:30 PM,Phoenix Suns,,Brooklyn Nets,
Tue Oct 31 2017,7:00 PM,Sacramento Kings,,Indiana Pacers,
Tue Oct 31 2017,10:30 PM,Detroit Pistons,,Los Angeles Lakers,
Tue Oct 31 2017,8:00 PM,Oklahoma City Thunder,,Milwaukee Bucks,
